filename,url,doc_type,download,title
Ley_de_Adquisiciones_Arrendamientos_y_Servicios_del_Sector_Publico_Estatal_y_Municipal_T6_13032024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Adquisiciones_Arrendamientos_y_Servicios_del_Sector_Publico_Estatal_y_Municipal_T6_13032024.pdf,leyes,1,Ley de Adquisiciones Arrendamientos y Servicios del Sector Publico Estatal y Municipal T6
Ley_de_Agricultura_Urbana_para_el_Estado_Puebla_30122013.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Agricultura_Urbana_para_el_Estado_Puebla_30122013.pdf,leyes,1,Ley de Agricultura Urbana para el Estado Puebla
Ley_de_Amnistia_para_el_Estado_de_Puebla16101978.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Amnistia_para_el_Estado_de_Puebla16101978.pdf,leyes,1,Ley de Amnistia para el Estado de Puebla16101978
Ley_de_Aranceles_para_el_cobro_de_honorarios_de_los_Abogados_o_Licenciados_en_Derecho_del_Estado_de_Puebla_EV_01072022.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Aranceles_para_el_cobro_de_honorarios_de_los_Abogados_o_Licenciados_en_Derecho_del_Estado_de_Puebla_EV_01072022.pdf,leyes,1,Ley de Aranceles para el cobro de honorarios de los Abogados o Licenciados en Derecho del Estado de Puebla EV
Ley de Archivos del Estado de Puebla_T3_28022024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Archivos_del_Estado_de_Puebla_T3_28022024.pdf,leyes,1,Ley de Archivos del Estado de Puebla T3
Ley_de_Atencion_y_Prevencion_de_la_Contaminacion_Visual_y_Auditiva_para_el_Estado_de_Puebla_EV_17062022.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Atencion_y_Prevencion_de_la_Contaminacion_Visual_y_Auditiva_para_el_Estado_de_Puebla_EV_17062022.pdf,leyes,1,Ley de Atencion y Prevencion de la Contaminacion Visual y Auditiva para el Estado de Puebla EV
Ley de Bibliotecas del Estado de Puebla_T3_16072024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Bibliotecas_del_Estado_de_Puebla_T3_16072024.pdf,leyes,1,Ley de Bibliotecas del Estado de Puebla T3
Ley_de_Bienestar_Animal_del_Estado_de_Puebla_EV_21032024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Bienestar_Animal_del_Estado_de_Puebla_EV_21032024.pdf,leyes,1,Ley de Bienestar Animal del Estado de Puebla EV
Ley_de_Busqueda_de_Personas_del_Estado_de_Puebla_T2EV_02092021.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Busqueda_de_Personas_del_Estado_de_Puebla_T2EV_02092021.pdf,leyes,1,Ley de Busqueda de Personas del Estado de Puebla T2EV
Ley_de_Cambio_Climatico_del_Estado_de_Puebla_09abr2021.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Cambio_Climatico_del_Estado_de_Puebla_09abr2021.pdf,leyes,0,Ley de Cambio Climatico del Estado de Pueblaabr2021
Ley de Cambio Climático del Estado de Puebla_T4_08082023.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Cambio_Climático_del_Estado_de_Puebla_T4_08082023.pdf,leyes,1,Ley de Cambio Climático del Estado de Puebla T4
Ley de Carrera Judicial del Estado de Puebla_4EV_23022024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Carrera_Judicial_del_Estado_de_Puebla_4EV_23022024.pdf,leyes,0,Ley de Carrera Judicial del Estado de PueblaEV
Ley_de_Catastro_del_Estado_de_Puebla_02102020.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Catastro_del_Estado_de_Puebla_02102020.pdf,leyes,1,Ley de Catastro del Estado de Puebla
LEY_de_construcciones_del_estado_de_puebla.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/LEY_de_construcciones_del_estado_de_puebla.pdf,leyes,0,LEY de construcciones del estado de puebla
Ley de Construcciones para el Estado y Municipios de Puebla_T6_15082024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Construcciones_para_el_Estado_y_Municipios_de_Puebla_T6_15082024.pdf,leyes,1,Ley de Construcciones para el Estado y Municipios de Puebla T6
Ley_de_Coordinacion_Hacendaria_del_Estado_de_Puebla_y_sus_Municipios_2EV_25082023.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Coordinacion_Hacendaria_del_Estado_de_Puebla_y_sus_Municipios_2EV_25082023.pdf,leyes,1,Ley de Coordinacion Hacendaria del Estado de Puebla y sus MunicipiosEV
Ley_de_Coordinacion_para_el_Establecimiento_y_Desarrollo_de_las_Zonas_Economicas_Especiales_del_Estado_15112017.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Coordinacion_para_el_Establecimiento_y_Desarrollo_de_las_Zonas_Economicas_Especiales_del_Estado_15112017.pdf,leyes,1,Ley de Coordinacion para el Establecimiento y Desarrollo de las Zonas Economicas Especiales del Estado
Ley_de_Cultura_del_Estado_de_Puebla__T5_26062023.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Cultura_del_Estado_de_Puebla__T5_26062023.pdf,leyes,1,Ley de Cultura del Estado de Puebla  T5
Ley_de_Derechos_Cultura_y_Desarrollo_de_los_Pueblos_y_Comunidades_Indígenas_del_Estado_de_Puebla_4EV_05122023.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Derechos_Cultura_y_Desarrollo_de_los_Pueblos_y_Comunidades_Indígenas_del_Estado_de_Puebla_4EV_05122023.pdf,leyes,1,Ley de Derechos Cultura y Desarrollo de los Pueblos y Comunidades Indígenas del Estado de PueblaEV
Ley de Desarrollo Económico Sustentable del Estado de Puebla_EV_27022024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Desarrollo_Económico_Sustentable_del_Estado_de_Puebla_EV_27022024.pdf,leyes,1,Ley de Desarrollo Económico Sustentable del Estado de Puebla EV
Ley_de_Desarrollo_Economico_Sustentable_del_Estado_de_Puebla_T36_23122022.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Desarrollo_Economico_Sustentable_del_Estado_de_Puebla_T36_23122022.pdf,leyes,0,Ley de Desarrollo Economico Sustentable del Estado de Puebla T36
Ley_de_Desarrollo_Forestal_Sustentable_del_Estado_de_Puebla_T7_10032021.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Desarrollo_Forestal_Sustentable_del_Estado_de_Puebla_T7_10032021.pdf,leyes,1,Ley de Desarrollo Forestal Sustentable del Estado de Puebla T7
Ley_de_Desarrollo_Rural_Sustentable_del_Estado_de_Puebla_T34_22122022.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Desarrollo_Rural_Sustentable_del_Estado_de_Puebla_T34_22122022.pdf,leyes,1,Ley de Desarrollo Rural Sustentable del Estado de Puebla T34
Ley_de_Desarrollo_Social_para_el_Estado_de_Puebla_T33_23122022.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Desarrollo_Social_para_el_Estado_de_Puebla_T33_23122022.pdf,leyes,1,Ley de Desarrollo Social para el Estado de Puebla T33
Ley_de_Desarrollo_Urbano_Sustentable_del_Estado_de_Puebla_26032003.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Desarrollo_Urbano_Sustentable_del_Estado_de_Puebla_26032003.pdf,leyes,1,Ley de Desarrollo Urbano Sustentable del Estado de Puebla
Ley_de_Deuda_Publica_para_el_Estado_Libre_y_Soberano_de_Puebla_29122017.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Deuda_Publica_para_el_Estado_Libre_y_Soberano_de_Puebla_29122017.pdf,leyes,1,Ley de Deuda Publica para el Estado Libre y Soberano de Puebla
Ley_de_Educación_del_Estado_de_Puebla_T4_05082024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Educación_del_Estado_de_Puebla_T4_05082024.pdf,leyes,1,Ley de Educación del Estado de Puebla T4
Ley_de_Educacion_Inicial_del_Estado_Libre_y_Soberano_de_Puebla_T10_16032023.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Educacion_Inicial_del_Estado_Libre_y_Soberano_de_Puebla_T10_16032023.pdf,leyes,1,Ley de Educacion Inicial del Estado Libre y Soberano de Puebla T10
Ley_de_Educacion_Media_y_Superior_del_Estado_Libre_y_Soberano_de_Puebla_15041977.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Educacion_Media_y_Superior_del_Estado_Libre_y_Soberano_de_Puebla_15041977.pdf,leyes,1,Ley de Educacion Media y Superior del Estado Libre y Soberano de Puebla
Ley_de_Educacion_Superior_del_Estado_de_Puebla_T10_16032023.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Educacion_Superior_del_Estado_de_Puebla_T10_16032023.pdf,leyes,1,Ley de Educacion Superior del Estado de Puebla T10
"Ley de Egresos del Estado de Puebla, para el Ejercicio Fiscal 2024_T2_18122023.pdf","https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Egresos_del_Estado_de_Puebla,_para_el_Ejercicio_Fiscal_2024_T2_18122023.pdf",leyes,0,"Ley de Egresos del Estado de Puebla, para el Ejercicio Fiscal 2024 T2"
Ley_de_Ejecucion_de_Medidas_Cautelares_y_Sanciones_Penales_14092012.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Ejecucion_de_Medidas_Cautelares_y_Sanciones_Penales_14092012.pdf,leyes,1,Ley de Ejecucion de Medidas Cautelares y Sanciones Penales
Ley_de_Entidades_Paraestatales_del_Estado_de_Puebla_T4_16072024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Entidades_Paraestatales_del_Estado_de_Puebla_T4_16072024.pdf,leyes,1,Ley de Entidades Paraestatales del Estado de Puebla T4
LEY_de_estimulos_civicos.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/LEY_de_estimulos_civicos.pdf,leyes,1,LEY de estimulos civicos
Ley_de_Estimulos_Recompensas_y_Premios_a_los_Funcionarios_y_Empleados_del_Gobierno_del_Estado_de_Puebla_29081978.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Estimulos_Recompensas_y_Premios_a_los_Funcionarios_y_Empleados_del_Gobierno_del_Estado_de_Puebla_29081978.pdf,leyes,0,Ley de Estimulos Recompensas y Premios a los Funcionarios y Empleados del Gobierno del Estado de Puebla
Ley_de_Expropiacion_para_el_Estado_de_Puebla_9octubre2018.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Expropiacion_para_el_Estado_de_Puebla_9octubre2018.pdf,leyes,1,Ley de Expropiacion para el Estado de Pueblaoctubre2018
Ley_de_Extincion_de_Dominio_para_el_Estado_de_Puebla_1092015.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Extincion_de_Dominio_para_el_Estado_de_Puebla_1092015.pdf,leyes,1,Ley de Extincion de Dominio para el Estado de Puebla
ley_de_fomento_a_la_acuacultura_y_pesca_sustentable_para_edo_puebla_29feb2016.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/ley_de_fomento_a_la_acuacultura_y_pesca_sustentable_para_edo_puebla_29feb2016.pdf,leyes,1,ley de fomento a la acuacultura y pesca sustentable para edo pueblafeb2016
LEY_de_fomento_a_la_investigacion_cientifica__tecnologica__humanistica_y_a_la_innovacion_31122004.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/LEY_de_fomento_a_la_investigacion_cientifica__tecnologica__humanistica_y_a_la_innovacion_31122004.pdf,leyes,1,LEY de fomento a la investigacion cientifica  tecnologica  humanistica y a la innovacion
Ley_de_Fomento_a_las_Actividades_Realizadas_por_Organizaciones_de_la_Sociedad_Civil_para_el_Estado_de_Puebla_4EV_27072023.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Fomento_a_las_Actividades_Realizadas_por_Organizaciones_de_la_Sociedad_Civil_para_el_Estado_de_Puebla_4EV_27072023.pdf,leyes,1,Ley de Fomento a las Actividades Realizadas por Organizaciones de la Sociedad Civil para el Estado de PueblaEV
Ley_de_Fraccionamientos_y_Acciones_Urbanisticas_del_Estado_Libre_y_Soberano _de_Puebla_T8_05042024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Fraccionamientos_y_Acciones_Urbanisticas_del_Estado_Libre_y_Soberano__de_Puebla_T8_05042024.pdf,leyes,1,Ley de Fraccionamientos y Acciones Urbanisticas del Estado Libre y Soberano  de Puebla T8
Ley de Gobernanza Regulatoria para el Estado de Puebla_T3_11022015.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Gobernanza_Regulatoria_para_el_Estado_de_Puebla_T3_11022015_1.pdf,leyes,1,Ley de Gobernanza Regulatoria para el Estado de Puebla T3
LEY_de_gobierno_digital_para_el_estado_de_puebla_11022015.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/LEY_de_gobierno_digital_para_el_estado_de_puebla_11022015.pdf,leyes,1,LEY de gobierno digital para el estado de puebla
Ley_de_Hacienda_Municipal_del_Estado_Libre y Soberano_de_Puebla_T6_15122023.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Hacienda_Municipal_del_Estado_Libre_y_Soberano_de_Puebla_T6_15122023.pdf,leyes,1,Ley de Hacienda Municipal del Estado Libre y Soberano de Puebla T6
Ley de Hacienda para el Estado Libre y Soberano de Puebla_T5_05082024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Hacienda_para_el_Estado_Libre_y_Soberano_de_Puebla_T5_05082024.pdf,leyes,1,Ley de Hacienda para el Estado Libre y Soberano de Puebla T5
Ley de Imagen Institucional del Estado de Puebla_T7_07022024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Imagen_Institucional_del_Estado_de_Puebla_T7_07022024.pdf,leyes,1,Ley de Imagen Institucional del Estado de Puebla T7
T_E_V_10122021_C.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/T_E_V_10122021_C.pdf,leyes,0,T E V C
"Ley de Ingresos del Estado de Puebla, para el Ejercicio Fiscal 2024_T4_05082024.pdf","https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Ingresos_del_Estado_de_Puebla,_para_el_Ejercicio_Fiscal_2024_T4_05082024.pdf",leyes,0,"Ley de Ingresos del Estado de Puebla, para el Ejercicio Fiscal 2024 T4"
Ley_de_Instituciones_de_Asistencia_Privada_para_el_Estado_Libre_y_Soberano_de_Puebla19052014.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Instituciones_de_Asistencia_Privada_para_el_Estado_Libre_y_Soberano_de_Puebla19052014.pdf,leyes,1,Ley de Instituciones de Asistencia Privada para el Estado Libre y Soberano de Puebla19052014
Ley de la Benemérita Universidad Autónoma de Puebla_T5_28112023.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_la_Benemérita_Universidad_Autónoma_de_Puebla_T5_28112023.pdf,leyes,0,Ley de la Benemérita Universidad Autónoma de Puebla T5
Ley_de_la_Comision_de_Derechos_Humanos_del_Estado_de_Puebla_T5_01122023.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_la_Comision_de_Derechos_Humanos_del_Estado_de_Puebla_T5_01122023.pdf,leyes,1,Ley de la Comision de Derechos Humanos del Estado de Puebla T5
Ley_de_la_Juventud_para_el_Estado_de_Puebla_T3_29042024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_la_Juventud_para_el_Estado_de_Puebla_T3_29042024.pdf,leyes,1,Ley de la Juventud para el Estado de Puebla T3
Ley_de_la_Procuraduria_de_Proteccion_de_los_Derechos_de_Nias_Nios_Y_Adolescentes_del_Estado_de_Puebla_31ago2018.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_la_Procuraduria_de_Proteccion_de_los_Derechos_de_Nias_Nios_Y_Adolescentes_del_Estado_de_Puebla_31ago2018.pdf,leyes,0,Ley de la Procuraduria de Proteccion de los Derechos de Nias Nios Y Adolescentes del Estado de Pueblaago2018
Ley_de_los_Derechos_de_las_Niñas_Niños_y_Adolescentes_del_Estado_de_Puebla_T3_11042024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_los_Derechos_de_las_Niñas_Niños_y_Adolescentes_del_Estado_de_Puebla_T3_11042024.pdf,leyes,1,Ley de los Derechos de las Niñas Niños y Adolescentes del Estado de Puebla T3
